"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"09/06/2022";"09/06/2022";"COMPRA TARJETA DEBITO/CREDITO CLICKFERRY S.A. TJ*5783";"-677,80";"539,56"
"";"09/06/2022";"09/06/2022";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*0011";"-26,42";"1.217,36"
"";"09/06/2022";"09/06/2022";"RECIBO COL.LEGI OFICIAL DE FARMACEUTICS DE BCN";"-37,23";"1.243,78"
"";"08/06/2022";"09/06/2022";"TRANSF PARA MARTA PARDOS MAS TRASPAS";"-700,00";"1.281,01"
"";"08/06/2022";"08/06/2022";"COMPRA TARJETA DEBITO/CREDITO TALLERS PIERA SCP TJ*0011";"-626,19";"1.981,01"
"";"07/06/2022";"07/06/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.607,20"
"";"07/06/2022";"07/06/2022";"RETIRADA EFECTIVO TARJETA DEBITO";"-300,00";"2.607,55"
"";"07/06/2022";"07/06/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-57,60";"2.907,55"
"";"06/06/2022";"06/06/2022";"RECIBO MINYONS ESCOLTES GUIES SANT JORDI DE CAT";"-160,00";"2.965,15"
"";"06/06/2022";"06/06/2022";"RECIBO IGUANA COMUNICACIONS S.L.";"-33,90";"3.125,15"
"";"03/06/2022";"03/06/2022";"RECIBO PIJUAN";"-38,00";"3.159,05"
"";"02/06/2022";"31/05/2022";"COMPRA TARJETA DEBITO/CREDITO Strato TJ*5783";"-18,03";"3.197,05"
"";"02/06/2022";"02/06/2022";"RECIBO ANA MARIA POVEDA NAVARRO";"-200,00";"3.215,08"
"";"02/06/2022";"02/06/2022";"RECIBO PENEDES LANGUAGES SL";"-82,00";"3.415,08"
"";"01/06/2022";"01/06/2022";"TRANSFERENCIA IGRID S.L. ABONO NOMINA 05/2022";"1.926,00";"3.497,08"
"";"31/05/2022";"31/05/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,60";"1.571,08"
"";"31/05/2022";"31/05/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-2,20";"1.571,68"
"";"31/05/2022";"31/05/2022";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-73,56";"1.573,88"
"";"30/05/2022";"30/05/2022";"COMPRA TARJETA DEBITO/CREDITO CREU TJ*5783";"-7,50";"1.647,44"
"";"30/05/2022";"30/05/2022";"COMPRA TARJETA DEBITO/CREDITO LA PANERA DEL PA IGUALADA TJ*5783";"-3,90";"1.654,94"
"";"27/05/2022";"27/05/2022";"COMPRA TARJETA DEBITO/CREDITO TAGLIATELLA IGUALADA TJ*0011";"-21,00";"1.658,84"
"";"25/05/2022";"25/05/2022";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*0011";"-29,42";"1.679,84"
"";"25/05/2022";"25/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-20,47";"1.709,26"
"";"25/05/2022";"25/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-16,94";"1.729,73"
"";"24/05/2022";"24/05/2022";"COMPRA TARJETA DEBITO/CREDITO MES MERCAT SL TJ*0011";"-7,57";"1.746,67"
"";"24/05/2022";"24/05/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.754,24"
"";"23/05/2022";"23/05/2022";"COMPRA TARJETA DEBITO/CREDITO LA PANERA DEL PA IGUALADA TJ*5783";"-7,80";"1.754,59"
"";"23/05/2022";"23/05/2022";"COMPRA TARJETA DEBITO/CREDITO BEAUTY BY DIA IGUALADA 60 TJ*5783";"-32,48";"1.762,39"
"";"22/05/2022";"22/05/2022";"COMPRA TARJETA DEBITO/CREDITO ITV IGUALADA TJ*5783";"-40,60";"1.794,87"
"";"22/05/2022";"22/05/2022";"COMPRA TARJETA DEBITO/CREDITO TORRES MASIP TJ*0011";"-13,10";"1.835,47"
"";"21/05/2022";"21/05/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-6,26";"1.848,57"
"";"21/05/2022";"21/05/2022";"COMPRA TARJETA DEBITO/CREDITO HIPER JUNBO TJ*0011";"-23,27";"1.854,83"
"";"21/05/2022";"21/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-10,81";"1.878,10"
"";"21/05/2022";"21/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-27,22";"1.888,91"
"";"20/05/2022";"20/05/2022";"COMPRA TARJETA DEBITO/CREDITO CRISTALLERIA MARIA 55SL U TJ*0011";"-61,80";"1.916,13"
