"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"31/07/2021";"31/07/2021";"COMPRA TARJETA DEBITO/CREDITO IKEA L HOSPITALET TJ*0011";"-0,75";"1.514,35"
"";"31/07/2021";"31/07/2021";"COMPRA TARJETA DEBITO/CREDITO IKEA L HOSPITALET TJ*0011";"-104,00";"1.515,10"
"";"31/07/2021";"31/07/2021";"COMPRA TARJETA DEBITO/CREDITO REST. IKEA HOSPITAL TJ*0011";"-9,95";"1.619,10"
"";"31/07/2021";"31/07/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-4,64";"1.629,05"
"";"31/07/2021";"31/07/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-6,13";"1.633,69"
"";"30/07/2021";"30/07/2021";"COMPRA TARJETA DEBITO/CREDITO DRIM IGUALADA TJ*0011";"-35,98";"1.639,82"
"";"30/07/2021";"30/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,45";"1.675,80"
"";"30/07/2021";"30/07/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-13,40";"1.676,25"
"";"30/07/2021";"30/07/2021";"TRANSF DE FM UNLIMITED MOTORCYCLES,S.L. Nomina Julio Marti Soler Chiva";"1.450,00";"1.689,65"
"";"28/07/2021";"28/07/2021";"COMPRA TARJETA DEBITO/CREDITO VNG APARCAMENTS TJ*0011";"-5,20";"239,65"
"";"28/07/2021";"28/07/2021";"COMPRA TARJETA DEBITO/CREDITO ESCLATOIL PIERA TJ*0011";"-50,00";"244,85"
"";"28/07/2021";"28/07/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-18,20";"294,85"
"";"27/07/2021";"27/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"313,05"
"";"27/07/2021";"27/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"313,40"
"";"27/07/2021";"27/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,65";"313,75"
"";"27/07/2021";"27/07/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-17,58";"314,40"
"";"24/07/2021";"24/07/2021";"COMPRA TARJETA DEBITO/CREDITO 9 ABA CICLES TJ*5783";"-44,50";"331,98"
"";"23/07/2021";"23/07/2021";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-22,41";"376,48"
"";"23/07/2021";"23/07/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-19,75";"398,89"
"";"22/07/2021";"22/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,40";"418,64"
"";"22/07/2021";"22/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,30";"419,04"
"";"21/07/2021";"21/07/2021";"COMPRA TARJETA DEBITO/CREDITO CONSUM IGUALADA TJ*0011";"-6,02";"420,34"
"";"20/07/2021";"20/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,65";"426,36"
"";"20/07/2021";"20/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"427,01"
"";"20/07/2021";"20/07/2021";"COMPRA TARJETA DEBITO/CREDITO CRISTALLERIA MARIA 55SL U TJ*0011";"-44,50";"427,36"
"";"20/07/2021";"20/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,45";"471,86"
"";"20/07/2021";"20/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"472,31"
"";"20/07/2021";"20/07/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-59,79";"472,66"
"";"20/07/2021";"20/07/2021";"IMPUESTO MOD.303 JUST.3032884812465";"-618,55";"532,45"
"";"19/07/2021";"19/07/2021";"COMPRA TARJETA DEBITO/CREDITO EDITORIAL LUIS VIVES TJ*5783";"-36,26";"1.151,00"
"";"19/07/2021";"19/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,10";"1.187,26"
"";"17/07/2021";"19/07/2021";"TRANSF PARA MARTA PARDOS MAS marta traspas";"-200,00";"1.188,36"
"";"17/07/2021";"17/07/2021";"COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011";"-75,98";"1.388,36"
"";"17/07/2021";"17/07/2021";"COMPRA TARJETA DEBITO/CREDITO 94D SP IGUALADA TJ*0011";"-25,97";"1.464,34"
"";"17/07/2021";"17/07/2021";"COMPRA TARJETA DEBITO/CREDITO CENTRE OPTIC ANOIA TJ*5783";"-370,00";"1.490,31"
"";"16/07/2021";"16/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.860,31"
"";"16/07/2021";"16/07/2021";"RECIBO SIMYO";"-12,00";"1.860,66"
"";"15/07/2021";"15/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,00";"1.872,66"
"";"15/07/2021";"15/07/2021";"RECIBO SIMYO";"-10,00";"1.873,66"
"";"14/07/2021";"14/07/2021";"COMPRA TARJETA DEBITO/CREDITO AMBIT DESCANS TJ*0011";"-449,00";"1.883,66"
"";"13/07/2021";"13/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.332,66"
"";"13/07/2021";"13/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,20";"2.333,01"
"";"12/07/2021";"12/07/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,00";"2.334,21"
"";"12/07/2021";"08/07/2021";"COMPRA TARJETA DEBITO/CREDITO E.S. LA MARGINEDA TJ*5783";"-48,00";"2.335,21"
"";"12/07/2021";"08/07/2021";"COMPRA TARJETA DEBITO/CREDITO HIPER ANDORRA 2 TJ*0011";"-36,31";"2.383,21"
"";"12/07/2021";"02/07/2021";"COMPRA TARJETA DEBITO/CREDITO PKZOPALS TJ*0011";"-2,15";"2.419,52"
"";"11/07/2021";"11/07/2021";"COMPRA TARJETA DEBITO/CREDITO CASA AMETLLER TJ*0011";"-11,04";"2.421,67"
"";"11/07/2021";"11/07/2021";"COMPRA TARJETA DEBITO/CREDITO LA LIONESA TJ*0011";"-20,00";"2.432,71"
